FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDCWI,Mandatory Contributions With Interest at DOPT,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMP,cover,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUCOMP,"Current Monthly Compensation - Salary, Earnings, etc.",NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAL,Annual Salary Used for PIA Estimate Calculations,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IACT,"Indicator of correct Social Security Act (SSA) (Input for AME, BAPPVRA and PIASSNRA add-in functions. Valid values are A to L - A is for act in effect at DOTE)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOASDI,"Social Security Benefit Type Indicator (Input for AME, BAPPVRA and PIASSNRA add-in functions. A = Old Age; B = Widow(er)'s; C = Disability) ",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRAYRS,"Age (in years) at which the Social Security Offset is Calculated (Input for AME, BAPPVRA and PIASSNRA add-in functions) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRAMOS,"Age (in months) at which the Social Security Offset is Calculated (Input for AME, BAPPVRA and PIASSNRA add-in functions) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRAORAA,"Attained Age Indicator (Input for AME, BAPPVRA and PIASSNRA add-in functions. Valid values are A and B) ",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AME,Average Monthly Earnings-Indexed or Un-indexed as defined by SSA (Result generated by AME add-in function). Field also used in non-SSO plans to hold Average Monthly Earnings as defined in the plan,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAPPVRA,Calculated Benefit Payable by Social Security (Result generated by BAPPVRA add-in function).,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIASSNRA,Calculated Primary Insurance Amount (Result generated by PIASSNRA add-in function). ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIA,Primary Insurance Amount (from Plan Administrator),NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPA,Plan Administrator's Credited (Benefit) Service at DOTE,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSPA,Plan Administrator's Vesting Service at DOTE,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPA,Plan Administrator's Plan Eligibility Service at DOTE,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSERV,Total Years of Service at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSERV,Past Years of Service at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSERV,Future Years of Service at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Years of Credited (Benefit) Service at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Years of Eligibility Service at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VS,Years of Vesting Service at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VP,"Participant's Vesting Percent at DOTE (Enter as fraction, e.g. 1 not 100) (Calculate according to plan provisions. This may be 0% even if participant gets bftbenefit in Priority Category (PC) 2 or PC6.) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOP,Years of Participation at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Benefit Rate at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMB,Accrued Monthly Benefit at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VB,Vested Monthly Benefit in the Normal Single Form (NSF) at NRA at DOTE (before PBGC Limitations) ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBNF,Vested Monthly Benefit in the Automatic Form (unless valid pre-DOPT election) at NRA at DOTE (before PBGC Limitations) ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXLIM_DOPT,"PBGC Maximum Insurance Limitation  (MIL) Dollar Amount Payable at Age 65 as a Straight Life Annuity based on DOPT, or BPD if applicable;  MIL Dollar Limitation or Salary Limitation, whichever is smaller ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
