FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_MED_PVMB,XRD Medicare Benefit for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_QPSA_PVMB,Present Value of PC5E QPSA benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_SUPP1_MB,1st XRD Supplement for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_SUPP2_MB,2nd XRD Supplement for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_SUPP3_MB,3rd XRD Supplement for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_Total_PV,Total Present Value for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TITLE_IV_NO_Q_NO_L,Present Value Title IV Monthly Benefit Without QPSA or Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_BAS_UNGB_NO_Q_NO_L,Present Value Basic UNGB Without QPSA or Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_NB_UNGB_NO_Q_NO_L,Present Value Non-Basic UNGB Without QPSA or Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVPBL_ANN_RATES_NO_Q_NO_L,Present Value Plan Benefit Without QPSA or Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_4022C_NO_Q_NO_L,Present Value 4022(c) Without QPSA or Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TERM_NO_Q_NO_L,Present Value Termination Benefit Without QPSA or Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TITLE_IV_QPSA,Present Value Title IV QPSA Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_BAS_UNGB_QPSA,Present Value Basic UNGB QPSA Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_NB_UNGB_QPSA,Present Value Non-Basic UNGB QPSA Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVPBL_ANN_RATES_QPSA,Present Value Plan QPSA Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_4022C_QPSA,Present Value 4022(c) QPSA Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TERM_QPSA,Present Value Termination QPSA Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TITLE_IV_NO_LOAD,Present Value of Title IV Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNNFA_PVMB_NO_LOAD,Present Value of Basic UNGB Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNNFA_PVMB_NO_LOAD,Present Value of Non-Basic UNGB Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVPBL_ANN_RATES_NO_LOAD,Present Value of Plan Benefit Liability Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_4022C_NO_LOAD,Present Value of 4022(c) Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TERM_NO_LOAD,Present Value of Termination Benefit Without Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE_IV_LOAD,Title IV Benefit Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNNFA_LOAD,Basic UNGB Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNNFA_LOAD,Non-Basic UNGB Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBL_LOAD,Plan Benefit Liability Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOAD_4022C,4022(c) Benefit Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_LOAD,Termination Benefit Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ERD,Earliest Retirement Date at DOPT/BPD-3,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_EURD,Earliest Unreduced Retirement Date at DOPT/BPD-3,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ELG_IND,PC3 Eligibility Indicator,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_CASH_BAL,Cash Balance at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_CASH_BAL_FACT,Annuity Conversion Factor for Cash Balance at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_CS,Credited Service at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_SERV_PROJ_NRD,Service Projected to NRD at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_SS_FACTOR,Short Service Factor at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_AC_FACTOR,Accrual Factor at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_BR,Benefit Rate at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ACOMP,Average Compensation at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_CCOMP,Covered Compensation at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_VS,Vesting Service at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_VP,Vesting Percentage at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_AMB,Accrued Monthly Benefit at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_VB,Vested Monthly Benefit at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ATT,Attained Age at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_AEQ_PP_MORT,PC3 Participant Mortality Table Code for NPVF for Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_AEQ_BE_MORT,PC3 Beneficiary Mortality Table Code for NPVF for Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_AEQ_INTEREST,PC3 Interest Rate Range Name for NPVF for Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ANB,Age Nearest Birthday at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_SANB,Beneficiary's Age Nearest Birthday at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ME,Months Early at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ERF,Early Retirement Factor at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_BFCF,Benefit Form Conversion Factor at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_ML,Months Late at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_LRF,Late Retirement Factor at DOPT/BPD-3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_PROJ_NRD_BEN,Projected Benefit at NRD at DOPT/BPD-3,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_OFFSET,Offset to PC3 Benefit Due to Pre-DOPT Partial Distribution,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD,Earliest Retirement Date at BPD,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_EURD,Earliest Unreduced Retirement Date at BPD,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL,Cash Balance at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CS,Credited Service at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_SERV_PROJ_NRD,Service Projected to NRD at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_SS_FACTOR,Short Service Factor at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_AC_FACTOR,Accrual Factor at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_BR,Benefit Rate at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ACOMP,Average Compensation at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CCOMP,Covered Compensation at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_VS,Vesting Service at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_VP,Vesting Percentage at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_AMB,Accrued Monthly Benefit at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_VB,Vested Monthly Benefit at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ATT,Attained Age at BPD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_AEQ_PP_MORT,BPD Participant Mortality Table Code for NPVF for Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_AEQ_BE_MORT,BPD Beneficiary Mortality Table Code for NPVF for Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_AEQ_INTEREST,BPD Interest Rate Range Name for NPVF for Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_XRD,BPD Cash Balance at XRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_FACT_XRD,BPD Annuity Conversion Factor for Cash Balance at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_NRD,BPD Cash Balance at NRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_FACT_NRD,BPD Annuity Conversion Factor for Cash Balance at NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_EURD,BPD Cash Balance at EURD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_FACT_EURD,BPD Annuity Conversion Factor for Cash Balance at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_ERD,BPD Cash Balance at ERD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_CASH_BAL_FACT_ERD,BPD Annuity Conversion Factor for Cash Balance at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_XRD_ME,BPD Months Early at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_XRD_ERF,BPD Early Retirement Factor at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD_ME,BPD Months Early at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD_ERF,BPD Early Retirement Factor at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_XRD_BFCF,BPD Benefit Form Conversion Factor at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_NRD_BFCF,BPD Benefit Form Conversion Factor at NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_EURD_BFCF,BPD Benefit Form Conversion Factor at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD_BFCF,BPD Benefit Form Conversion Factor at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_XRD_ML,BPD Months Late at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_XRD_LRF,BPD Late Retirement Factor at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_EURD_ML,BPD Months Late at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_EURD_LRF,BPD Late Retirement Factor at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD_ML,BPD Months Late at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD_LRF,BPD Late Retirement Factor at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_PROJ_NRD_BEN,Projected Benefit at NRD at BPD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_XRD_PMB,BPD Plan Monthly Benefit at XRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_NRD_PMB,BPD Plan Monthly Benefit at NRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_EURD_PMB,BPD Plan Monthly Benefit at EURD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPD_ERD_PMB,BPD Plan Monthly Benefit at ERD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_DELETE_FLAG,Deleted record indicator (Y = deleted record).  Note records can only be added or deleted via BCV_Leo.  The system populates this fields when a record is deleted in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATABASE_ID,"Unique system generated BCV database ID (in general each case has one database ID but to support the migration effort, the system does allow for more than one database ID for a case)",NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_DELETE_FLAG,Deleted record indicator (Y = deleted record).  Note records can only be added or deleted via BCV_Leo.  The system populates this fields when a record is deleted in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATABASE_ID,"Unique system generated BCV database ID (in general each case has one database ID but to support the migration effort, the system does allow for more than one database ID for a case)",NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_DELETE_FLAG,Deleted record indicator (Y = deleted record).  Note records can only be added or deleted via BCV_Leo.  The system populates this fields when a record is deleted in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATABASE_ID,"Unique system generated BCV database ID (in general each case has one database ID but to support the migration effort, the system does allow for more than one database ID for a case)",NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSTYEAR,First Year for which Annual Salary is Available for Participant,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASTYEAR,Last Year (most recent) for which Annual Salary is Available for Participant,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNACT,"Salary Indicator for Last Year's Salary (A=Actual Salary, B=Annualized Salary)",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALARYDESC,"Describes the Salary Data Source (W-2, Payroll Records, etc.) ",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_DELETE_FLAG,Deleted record indicator (Y = deleted record).  Note records can only be added or deleted via BCV_Leo.  The system populates this fields when a record is deleted in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATABASE_ID,"Unique system generated BCV database ID (in general each case has one database ID but to support the migration effort, the system does allow for more than one database ID for a case)",NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOR,"Participant's Actual Retirement Date (ARD) - if the participant is receiving an auxiliary disability benefit at DOPT, this field should contain the post-DOPT commencement date of the non-disability benefit and the commencment date for the auxiliary disability benefit should be stored in the field C3.AUX_DIS_COMMENCE_DATE.",DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBCD,Beneficiary's Benefit Commencement Date,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD_LEV_ARD,Start Date of Primary Level Life ARD Benefit,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED_LEV_ARD,End Date (last day benefit payable) of Primary Level Life ARD Benefit (Life=12/01/2099),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_ARD,Participant's Attained Age at ARD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAA_ARD,Beneficiary's Attained Age at ARD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARA,Participant's Actual Retirement Age (age nearest birthday),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARA,Beneficiary's Age at Participant's ARD (age nearest birthday),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA_LEV_ARD,Starting Age Nearest Birthday of the Primary Level Life ARD Benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA_LEV_ARD,Ending Age Nearest Birthday of the Primary Level Life ARD Benefit (Life=999),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETTYP,"Type of Retirement (NR=Normal, ER=Early, DR=Disabled w/SS, DS=Disabled w/o SS, LR=Late, SB=Survivor Benefit)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_CODE_ARD,"Primary Level Life ARD Benefit Form (Same codes as FORM_CODE in C1 table; for a beneficiary record this is the form payable to the survivor or beneficiary, not the original benefit form payable to the participant).
For a participant record, this field is always populated based on the form of annuity of the ARD benefit commneced by the participant.
If participant dies before retiring and after DOPT and spouse then commences a QPSA benefit, this field is left blank (form of annuity for QPSA benefit commenced is stored in C9.FORM_CODE_DEATH field).
If the participant is receiving an auxiliary disability benefit at DOPT, this field should contain the form of annuity for the non-disability benefit commenced after DOPT (we assume a temporary life form of annuity for the auxiliary disability benefit).",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPPA,Plan Administrator's Calculated Vesting Percentage,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC_ARD,"Survivor Percent of Primary Level Life ARD Benefit Form (Enter as decimal, e.g. 0.5, not 50; this field is required if Form_Code_ARD = 0, 8, 9, A, B, C, D, E, F, G, or H; always 0 for beneficiary record) ",NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTHS_ARD,"Original Number of Months Certain in the Primary Level Life ARD Benefit Form (This field is required if FORM_CODE_ARD = 1, 4, 5, 6, A, B, C, D, or E)",NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_ARD,ARD Benefit Form Conversion Factor (from plan administrator calculation for pre-DOPT retiree),NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_ARD,Number of Months Early at ARD (from plan administrator calculation for pre-DOPT retiree),NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_ARD,Early Retirement Factor Used at ARD (from plan administrator calculation for pre-DOPT retiree),NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPLIM_ARD,Amount that ARD Benefit Pops Up To When the ARD Form is J&S Popup (from plan administrator calculation for pre-DOPT retiree),CURRENCY,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY_AMT1,Estimated Payment Amount (before any cutback or adjustment),NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
